,ID,formula,smiles,HOMO_LUMO_gap
0,AACFAZ10,C26 H22 Cl2 N2 O6,COC1=C(C(OC1=O)c1ccccc1Cl)C(C)=NN=C(C)C1=C(OC)C(=O)OC1c1ccccc1Cl,5.636294179999999
1,ABADEO,C30 H28 N6 O2,CN1N(c2ccccc2)C(=O)C(=C1C)N=Cc1ccccc1C=NC1=C(C)N(C)N(c2ccccc2)C1=O,5.84146802
2,ABADUE,C17 H17 N1 O4,COc1cc(OC)c(C=CC(=O)c2ccccn2)c(OC)c1,5.82024315
3,ABAGAN,C26 H17 O1 P1,O=P1(c2ccccc2)c2ccc3ccccc3c2c2c3ccccc3ccc12,5.64772297
4,ABAJUK,C18 H16 Br1 N3 O3,COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O,6.00283154
5,ABAKIZ,C14 H11 F1 N2,CCC(C=Cc1ccc(F)cc1)=C(C#N)C#N,5.768541519999999
6,ABALUM,C10 H9 Cl1 N4 O1,CC1=NNC(=O)C1=NNc1ccc(Cl)cc1,5.56636093
7,ABAMEX01,C23 H20 N4 O1,CC1=NN(C(=O)C1=C(Nc1ccccc1N)c1ccccc1)c1ccccc1,5.5905790600000005
8,ABAROL,C10 H8 S6,C1CC2=C(S1)SC(S2)=C1SC2=C(CSC2)S1,5.78160298
9,ABARUR,C10 H6 S6,C1SCC2=C1SC(S2)=C1SC2=CSC=C2S1,5.0599570499999995
10,ABATIJ,C23 H14 N4 O2,CN(C)c1ccc(cc1)C1=C(C#N)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O,4.918185729999999
11,ABATUV,C23 H14 N4 O2,CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(C#N)=C1C(=O)c2ccccc2C1=O,4.30239209
12,ABAVAD,C30 H24 N4 O2,CN(C)c1ccc(cc1)C1=C(c2ccc(cc2)N(C)C)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O,4.708930179999999
13,ABAVEH,C31 H23 N3 O4,CCOC(=O)c1ccc(cc1)C1=C(OC2=C(C(=O)c3ccccc23)C1(C#N)C#N)c1ccc(cc1)N(C)C,4.9470298
14,ABAVIL,C50 H32 N4 O2,O=C1c2ccccc2C2=C1C(C#N)(C#N)C(=C(O2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,4.59763562
15,ABAVUX,C29 H18 N4 O2,CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)C#N)=C1C(=O)c2ccccc2C1=O,4.90784541
16,ABAWAE,C29 H18 N4 O2,CN(C)c1ccc(cc1)C1=C(c2ccc(cc2)C#N)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O,4.97886712
17,ABECAL,C28 H18,c1ccc(cc1)c1ccc(cc1)c1cc2cc3cccc4cccc(c2c1)c34,4.4204895
18,ABEDIU,C28 H30 N4 O4 S4,C=CCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCC=C)N=C(S1)C1=NC(=CS1)COCC=C)COCC=C,5.342139120000001
19,ABEDOA,C28 H38 N4 O8 S4,OCCCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCCCO)N=C(S1)C1=NC(=CS1)COCCCO)COCCCO,5.29424707
20,ABEDUJ,C26 H29 Cl2 N5 O3,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,5.88310145
21,ABEFAP,C16 H16 N2 O3 S1,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1OC,6.22705336
22,ABEFOE01,C46 H34 O2,O=C(C=C(c1ccccc1)C(=CC=C(c1ccccc1)C(=CC(=O)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,5.7296292300000005
23,ABEGEV,C46 H36 O2,O=C(C(CC1(C=C(C=C(C1C(=O)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,5.9992940599999995
24,ABEGIY,C13 H10 O2,O=C1OC(=CC=C1)C=Cc1ccccc1,5.764731920000001
25,ABEJIC,C30 H18,c1ccc2c(c1)cccc2C#Cc1ccccc1C#Cc1cccc2ccccc12,5.76527615
26,ABEKEY,C11 H10 N2 S1,N(N=CC1=CC=CS1)c1ccccc1,5.97725284
27,ABEKUO,C16 H15 N3 O3,CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1,6.213719769999999
28,ABELID,C16 H12 N2 O3,OC1(Cc2ccccc2)c2ccccc2[N+]2=NOC(=C12)[O-],6.0109949600000006
29,ABEMAY,C22 H21 Cl1 F1 N3 O1,CCCCCNC(=O)c1c2cc(F)ccc2nc2N(C)c3cc(Cl)ccc3c12,5.8605160000000005
31,ABEPIJ,C19 H15 Cl1 N2 O3,COc1ccc2N(C)C(=O)C(c2c1)=C1C(=O)N(C)c2ccc(Cl)cc12,4.615595130000001
32,ABEQOO,C26 H33 Cl3 O6,Cc1c(O)cc2C(=O)C3(CC4C(C)(O)CCC(Cl)C4(C)C)OC(C)(C)C(Cl)CC3(Cl)C(=O)c2c1O,6.84584026
33,ABERII,C15 H14 O3,CC1=C2C(=O)C=C(C)C2=CC2=C(C)C(=O)OC2C1,5.7938481
34,ABESOS,C16 H9 F1 N2 O1 S1,Fc1ccc(cc1)C(=O)C1=CN2C(=Nc3ccccc23)S1,5.8703121000000005
35,ABESUY,C17 H12 N2 O1 S1,Cc1ccc(cc1)C(=O)C1=CN2C(=Nc3ccccc23)S1,5.971266330000001
36,ABEXOX,C42 H36 N2 O4,COc1ccc(cc1)N(c1ccc(OC)cc1)c1ccc2cc3cc(ccc3cc2c1)N(c1ccc(OC)cc1)c1ccc(OC)cc1,5.02893607
37,ABHYTZ,C9 H10 N6 O1 S1,NN1C(=S)NN=C1NNC(=O)c1ccccc1,5.97425959
39,ABIFAU,C22 H16 O4 S1,COC(=O)C1=C(C(=O)OC)C2=CC3c4ccccc4C2(S1)c1ccccc31,5.86867942
40,ABILOM,C30 H24 O2 S4,O=C1C2=CC=CC=C1SCc1cccc(CSC3=CC=CC=C(SCc4cccc(CS2)c4)C3=O)c1,5.37615335
41,ABILUS,C23 H20 O1 S4,O=C1C2=CC=CC=C1SCc1cccc(CSSCc3cccc(CS2)c3)c1,5.50377474
42,ABISIN,C27 H27 N1 O1,CN(C)C12CC(=O)C3(CCCCC13)C(=C2C#Cc1ccccc1)c1ccccc1,5.93453096
44,ABIVAL,C17 H17 N1 O4,CCC1=C(C)C2=Cc3c(OC)cc(OC)cc3C(=O)N2C1=O,5.40145993
45,ABIVUD,C10 H8 N8,N1N=C(NN=C1c1cnccn1)c1cnccn1,5.57860605
46,ABIWAM,C24 H20 N2 O2 S1,Cc1ccc(cc1)S(=O)(=O)N1c2ccc(C)cc2c2c(N)cc3ccccc3c12,5.8994282799999995
47,ABIWEQ,C25 H22 N2 O4 S1,COc1cc2cc(N)c3c4ccccc4N(c3c2cc1OC)S(=O)(=O)c1ccc(C)cc1,5.69343809
50,ABIYOC,C25 H19 I2 N1,CC1=C2N(CC(=C(I)C2(c2ccccc2)c2ccccc2)I)c2ccccc12,6.0216074
51,ABIZAP01,C13 H7 N1 O2 S1,O=C1N2CC3=C(SC=C3)c3cccc(C1=O)c23,5.58132719
52,ABIZOD,C15 H12 Br2 N2 O2 S1,CN(C)c1ccc(Br)c2N(CC3=C(Br)SC=C3)C(=O)C(=O)c12,5.4994209199999995
53,ABODUR,C17 H21 N3 O3,CCN(CC)C1=CC=CC=CC1=C1C(=O)N(C)C(=O)N(C)C1=O,5.527992869999999
54,ABOFUT,C39 H37 N1 O3,COc1ccc(cc1C1C(C(ON1c1ccccc1)c1ccc(C)cc1)C(=O)c1ccccc1)C(C)(C)c1ccccc1,6.20337945
55,ABOJUX,C18 H10 S8,S=C1SSC(=C1SSC1=C(SSC1=S)c1ccccc1)c1ccccc1,5.2297560999999995
56,ABOJUZ,C21 H20 O3,CCCCCCOC1=CC2=CC(=O)Oc3ccc4cccc1c4c23,5.1698910499999995
57,ABOKAE,C10 H8 S4,CSC1=C(SSC1=S)c1ccccc1,5.415337730000001
58,ABOKIN,C32 H25 N1 O4 S1,CCN1c2ccc(cc2Sc2cc(ccc12)C(=O)C=C(O)c1ccccc1)C(=O)C=C(O)c1ccccc1,4.80498637
59,ABONEK,C29 H23 N11 O4,Nc1cccc(NC(=O)c2cccc(n2)C(=O)Nc2cccc(NC(=O)c3cccc(n3)C(=O)Nc3cccc(N)n3)n2)n1,5.5639119
60,ABORIT,C17 H15 Br1 N2 O1,Brc1ccc(cc1)C1=CC(=C(C#N)C1=O)N1CCCCC1,5.28826057
61,ABOROA,C16 H12 F1 N3 O1 S2,Fc1ccc2NC(=O)C(=NNC(=S)SCc3ccccc3)c2c1,5.23628682
62,ABORUG,C16 H12 Br1 N3 O1 S2,Brc1ccc2NC(=O)C(=NNC(=S)SCc3ccccc3)c2c1,5.39411286
63,ABOSAN,C16 H12 Cl1 N3 O1 S2,Clc1ccc2NC(=O)C(=NNC(=S)SCc3ccccc3)c2c1,5.44717506
64,ABOTER,C16 H16 N2 O2 S1,CC(C1=CC=CS1)=C1OC(=O)C(=C1N1CCCCC1)C#N,5.52037368
65,ABTBTR,C9 H15 N1 S1,CN(C)C(=C=C=S)C(C)(C)C,5.38867058
66,ABTITZ,C15 H10 N2 S2,NC1=C(Sc2ccccc12)C1=NSc2ccccc12,5.50676799
67,ABUFAG,C18 H15 N1 O4,COc1ccc(cc1OC)C=C1N=C(OC1=O)c1ccccc1,5.142135440000001
68,ABUHEN,C24 H23 N3 S1,S=C(NN=Cc1ccc2ccc3cccc4ccc1c2c34)NC1CCCCC1,4.4950487
69,ABUHIR,C18 H10 Br1 N1 O2,Brc1ccc2NC=C(C3=CC(=O)c4ccccc4C3=O)c2c1,5.005534279999999
70,ABUJAL,C32 H22 N4 O2,O=C1N(N2C(=Nc3ccccc3C2=O)C=Cc2ccccc2)C(=Nc2ccccc12)C=Cc1ccccc1,5.879019740000001
71,ABUJOZ,C16 H12 N2 O2,O=C1C=C(NCc2ccccn2)C(=O)c2ccccc12,5.607177999999999
72,ABULUE,C30 H34 O4,COC(=O)C1=CC(=CC2=C(C)C=C(C)C=C(C)C2=C1C(=O)OC)c1c(C)c(C)c(C)c(C)c1C,5.9206531600000005
73,ABUMAL,C31 H34 O4,COC(=O)c1c(C)c2c(C)c(C)c(C)c3C=C(c4c(C)c(C)c(C)c(C)c4C)c(c1C(=O)OC)c23,5.78541258
74,ABUMEP,C32 H38 O4,COC(=O)C1=CC(=CC2=C(C)C(=C(C)C(=C(C)C2=C1C(=O)OC)C)C)c1c(C)c(C)c(C)c(C)c1C,5.7805145300000005
75,ABUQEV,C31 H22 O5,COc1cccc2c1C(=O)CC1CC(=O)c3ccccc3C3=C4C=CC(=O)c5c(OC)ccc(c45)C213,5.3905753800000005
76,ABUQOF,C33 H28 O6,COCOc1ccc2C(c3ccccc3C(C)=O)C3(C=CC(=O)c4c(OC)cccc34)c3ccc(OC)c1c23,5.87575437
