idx,smiles
1,C
2,N
3,O
4,C#C
5,C#N
6,C=O
7,CC
8,CO
9,CC#C
10,CC#N
11,CC=O
12,NC=O
13,CCC
14,CCO
15,COC
16,C1CC1
17,C1CO1
18,CC(C)=O
19,CC(N)=O
20,NC(N)=O
21,CC(C)C
22,CC(C)O
23,C#CC#C
24,C#CC#N
25,N#CC#N
26,O=CC#C
27,O=CC#N
28,O=CC=O
29,CC#CC
30,CCC#C
31,CCC#N
32,NCC#N
33,OCC#C
34,OCC#N
35,CCC=O
36,CNC=O
37,COC=O
38,OCC=O
39,CCCC
40,CCCO
41,CCOC
42,OCCO
43,CC1CC1
44,CC1CO1
45,CN1CC1
46,OC1CC1
47,C1CCC1
48,C1COC1
49,CC(C)=NO
50,N1C=CC=C1
51,N1C=CN=C1
52,O1C=CC=C1
53,O1C=CN=C1
54,CC(C)(C)C
55,CC(C)(C)O
56,CC(=O)C#C
57,CC(=O)C#N
58,NC(=N)C#N
59,NC(=O)C#C
60,CC(=O)C=O
61,NC(=N)C=O
62,NC(=O)C=O
63,CC(C)C#C
64,CC(C)C#N
65,CC(N)C#N
66,CC(O)C#C
67,CC(O)C#N
68,CC(C)C=O
69,CC(O)C=O
70,CN(C)C=O
71,CC(=O)CO
72,CCC(C)=O
73,CCC(N)=O
74,CNC(C)=O
75,CNC(N)=O
76,COC(C)=N
77,COC(C)=O
78,COC(N)=O
79,NC(=O)CO
80,CC(C)CO
81,CC(O)CO
82,CCC(C)C
83,CCC(C)O
84,COC(C)C
85,CC1(C)CC1
86,CC1(C)CO1
87,CC1(O)CC1
88,N=C1CCO1
89,O=C1CCC1
90,O=C1CCN1
91,O=C1CCO1
92,O=C1CNC1
93,O=C1COC1
94,CC1CCC1
95,CC1CCO1
96,CC1COC1
97,OC1CCC1
98,OC1COC1
99,CC1CC1C
100,CC1CC1O
101,CC1CN1C
102,CC1OC1C
103,OC1CC1O
104,C1C2CC1C2
105,C1C2CC1O2
106,C#CCC#C
107,C#CCC#N
108,N#CCC#N
109,O=CCC#C
110,O=CCC#N
111,N=CNC=O
112,N=COC=O
113,O=CNC=O
114,CC#CC#C
115,CC#CC#N
116,CC#CC=O
117,CC#CCO
118,CCC#CC
119,COC=NC
120,CCCC#C
121,CCCC#N
122,CNCC#N
123,COCC#C
124,COCC#N
125,OCCC#C
126,OCCC#N
127,CCCC=O
128,CCNC=O
129,CCOC=O
130,COCC=O
131,OCCC=O
132,CCCCC
133,CCCCO
134,CCCOC
135,CCOCC
136,COCCO
137,OCCCO
138,C#CC1CC1
139,C#CC1CN1
140,C#CC1CO1
141,N#CC1CC1
142,N#CC1CN1
143,N#CC1CO1
144,O=CC1CC1
145,O=CC1CN1
146,O=CC1CO1
147,O=CN1CC1
148,CCC1CC1
149,CCC1CO1
150,CCN1CC1
151,COC1CC1
152,OCC1CC1
153,OCC1CN1
154,OCC1CO1
155,C1CC=CC1
156,C1CN=CO1
157,C1OCC=C1
158,C1CCCC1
159,C1CCOC1
160,C1COCO1
161,C1C2CCC12
162,C1C2COC12
163,C1CC2OC12
164,N1C=CC=N1
165,N1C=CN=N1
166,N1C=NC=N1
167,N1C=NN=C1
168,N1N=CC=N1
169,O1C=CC=N1
170,O1C=CN=N1
171,O1C=NC=N1
172,O1C=NN=C1
173,O1C=NN=N1
174,O1N=CC=N1
175,O1N=CN=N1
176,O1N=NN=N1
177,CC(=NO)C#C
178,CC(CO)=NO
179,CCC(C)=NO
180,ON=C1CCC1
181,ON=C1CNC1
182,ON=C1COC1
183,FC(F)(F)F
184,N=C1NC=CO1
185,N=C1OC=CO1
186,O=C1NC=CN1
187,O=C1NC=CO1
188,O=C1OC=CO1
189,CC1=CC=CN1
190,CC1=CC=CO1
191,CC1=CN=CO1
192,CC1=NC=CO1
193,NC1=CC=CN1
194,NC1=CC=CO1
195,NC1=CN=CO1
196,NC1=NC=CO1
197,OC1=CC=CN1
198,OC1=CN=CN1
199,OC1=NC=CN1
200,CC1=CNC=C1
201,CC1=CNC=N1
202,CC1=COC=C1
203,CC1=COC=N1
204,NC1=CNC=C1
205,NC1=CNC=N1
206,NC1=COC=C1
207,NC1=COC=N1
208,OC1=CNC=C1
209,OC1=CNC=N1
210,OC1=COC=N1
211,CN1C=CC=C1
212,CN1C=CN=C1
213,C1=CC=CC=C1
214,C1=CC=NC=C1
215,C1=CN=CC=N1
216,C1=CN=CN=C1
217,C1=NC=NC=N1
218,CC(C)(C)C#C
219,CC(C)(C)C#N
220,CC(C)(N)C#N
221,CC(C)(O)C#C
222,CC(C)(O)C#N
223,CC(C)(C)C=O
224,CC(C)(O)C=O
225,CC(C)(C)CO
226,CC(C)(O)CO
227,CCC(C)(C)C
228,CCC(C)(C)O
229,COC(C)(C)C
230,CC#CC(C)=O
231,CC#CC(N)=O
232,CC#CC(C)C
233,CC#CC(C)O
234,CC(=O)CC#C
235,CC(=O)CC#N
236,NC(=O)CC#C
237,NC(=O)CC#N
238,CC(=N)NC=O
239,CC(=N)OC=O
240,CC(=O)CC=O
241,CC(=O)NC=N
242,CC(=O)NC=O
243,CC(=O)OC=N
244,NC(=N)NC=O
245,NC(=O)CC=O
246,NC(=O)NC=N
247,NC(=O)NC=O
248,NC(=O)OC=N
249,CC(C)CC#C
250,CC(C)CC#N
251,CC(O)CC#C
252,CC(O)CC#N
253,CN(C)CC#N
254,CC(C)CC=O
255,CC(C)NC=O
256,CC(C)OC=O
257,CC(O)CC=O
258,CN(C)CC=O
259,CC(=O)CCO
260,CCCC(C)=O
261,CCCC(N)=O
262,CCNC(C)=O
263,CCNC(N)=O
264,CCOC(C)=O
265,CCOC(N)=O
266,COCC(C)=O
267,COCC(N)=O
268,NC(=O)CCO
269,CC(C)CCO
270,CC(O)CCO
271,CCCC(C)C
272,CCCC(C)O
273,CCOC(C)C
274,COCC(C)C
275,COCC(C)O
276,CC(=O)C(C)=O
277,CC(=O)C(N)=N
278,CC(=O)C(N)=O
279,NC(=O)C(N)=O
280,CC(C)C(C)=O
281,CC(C)C(N)=O
282,CC(O)C(C)=O
283,CC(O)C(N)=O
284,CN(C)C(C)=O
285,CN(C)C(N)=O
286,CC(C)C(C)C
287,CC(C)C(C)O
288,CC(O)C(C)O
289,CC1(C)CCC1
290,CC1(C)CCO1
291,CC1(C)COC1
292,CC1(O)CCC1
293,CC1(O)COC1
294,CC1(C)CC1O
295,CC1(O)CC1O
296,CC1CC1(C)C
297,CC1CC1(C)O
298,CC1OC1(C)C
299,CN1CC1(C)C
300,CC1CC(=N)O1
301,CC1CC(=O)C1
302,CC1CC(=O)N1
303,CC1CC(=O)O1
304,CN1CC(=O)C1
305,OC1CC(=O)C1
306,CC1CC(C)C1
307,CC1CC(C)O1
308,CC1CC(O)C1
309,CN1CC(O)C1
310,OC1CC(O)C1
311,CC12CC(C1)C2
312,CC12CC(C1)O2
313,CC12CN(C1)C2
314,OC12CC(C1)C2
315,OC12CN(C1)C2
316,O=C(C#C)C#C
317,O=C(C#C)C#N
318,O=C(C#N)C#N
319,O=CC(=O)C#C
320,O=CC(=O)C#N
321,O=CC(=O)C=O
322,CC(C#C)C#C
323,CC(C#C)C#N
324,CC(C#N)C#N
325,NC(C#C)C#N
326,NC(C#N)C#N
327,OC(C#C)C#C
328,OC(C#C)C#N
329,OC(C#N)C#N
330,CC(C=O)C#C
331,CC(C=O)C#N
332,OC(C=O)C#C
333,OC(C=O)C#N
334,CC(C=O)C=O
335,CN(C=N)C=O
336,CN(C=O)C=O
337,OC(C=O)C=O
338,CN=C(N)C#N
339,CN=C(N)C=O
340,CCC(=O)C#C
341,CCC(=O)C#N
342,CNC(=N)C#N
343,CNC(=O)C#C
344,COC(=O)C#C
345,COC(=O)C#N
346,OCC(=O)C#C
347,OCC(=O)C#N
348,CCC(=O)C=O
349,CNC(=N)C=O
350,CNC(=O)C=O
351,COC(=O)C=O
352,OCC(=O)C=O
353,CCC(=O)CC
354,CCC(=O)CO
355,CCC(=O)NC
356,CCC(=O)OC
357,CNC(=O)CO
358,CNC(=O)NC
359,CNC(=O)OC
360,COC(=O)CN
361,COC(=O)CO
362,OCC(=O)CO
363,COC(C)=NC
364,CC(CO)C#C
365,CC(CO)C#N
366,CCC(C)C#C
367,CCC(C)C#N
368,CCC(N)C#N
369,CCC(O)C#C
370,CCC(O)C#N
371,CNC(C)C#N
372,COC(C)C#C
373,COC(C)C#N
374,NC(CO)C#N
375,NCC(N)C#N
376,NCC(O)C#N
377,OCC(O)C#C
378,OCC(O)C#N
379,CC(CO)C=O
380,CCC(C)C=O
381,CCC(O)C=O
382,CCN(C)C=O
383,COC(C)C=O
384,OCC(O)C=O
385,CC(CO)CO
386,CCC(C)CC
387,CCC(C)CO
388,CCC(C)OC
389,CCC(O)CC
390,CCC(O)CO
