smiles,energy_gap
N#CC1NC11C2CC1C2,0.2818
OC1=NON=C1OC=O,0.2271
CC12CCC1CN1CC21,0.3036
CN=C1OC(=O)CC1N,0.2451
CC(CO)C(CO)C#N,0.3048
CC1(C)CC(=O)OC1=N,0.2616
CC1NC2(CNC12)C#N,0.2485
OCCOC(=O)N1CC1,0.2883
O=CC1=CN2CCC2=N1,0.2025
NC1(COC1=N)C1CN1,0.2635
CCN1C=NC(=C1)C#C,0.2194
O=C1CC2COCC1O2,0.2125
CC(=O)CC1(C)COC1,0.2229
O=CC1=NCCO1,0.1868
N#CC1(CC2CC2)CO1,0.2924
CC1=CCCNC1C#N,0.2435
O=C1NC2CCC3C2N13,0.2708
N#CC12OC3COC1C23,0.2315
CNC1=C(N)N=NN1C,0.2083
OC1(CC=O)CC=CC1,0.2243
NC1=NC2CC2NC1=O,0.1919
OC1=CC=C(F)C=C1,0.2065
CC(CO)N1N=NN=N1,0.2552
C1C2NC2C11CCCO1,0.3087
CC1(OCCO1)C1CO1,0.3286
CC#CCC1(C)CN1,0.2902
O=C1C2CC3CC1C23,0.2199
O=C1NCC11C2CC1O2,0.2565
CN=C1N=NOC=C1F,0.1566
CC12OC3C4C3C1(C)C24,0.3111
CC1=NC=C(C=C1)C#N,0.2092
C1CC11CC2N=COC12,0.2628
C1OC23CC(C=C2)C13,0.2324
O=CNC(C#N)C1CC1,0.2758
CC1(CC(O)C#C)CC1,0.2883
CCCCCN=COC,0.2694
CC1C2C3CC2(C#N)C13,0.3191
O=C1OC23CC(C2)C13,0.2564
CC1CCC(C=O)=C1N,0.1819
CC1=NC(=CC=C1)C#N,0.2085
COC1=C(OC=N1)C#N,0.1937
OC1C(COC1=O)C#N,0.2724
CC(C#C)C1COCO1,0.2973
OC1C2C(C1O)N2C=O,0.245
CCCOC1C2CCC12,0.3237
CC(C1CCC1)C(C)=O,0.229
OC12C3CC1C(=O)C2C3,0.2154
CC1=CC=CC(C)=C1C,0.2348
CN1N=NC(O)=C1C,0.2217
OC1C2CC3OC1CC23,0.3241
O=C1OCOC(=O)C=C1,0.1958
CCC1CC2OCC12O,0.3038
CC12CC(N1)C2(O)C#N,0.2903
CC(C)CC(=O)NC=O,0.2203
CC12C3C4OC1C2(O)C34,0.2905
NC1=NNN=C1C#C,0.1973
N#CCC1C=CC2CN12,0.2278
CC12NC(C1C=O)C2=O,0.2137
OCC1=CC(=CO1)C#C,0.2119
CC1C2(O)C3NC3C12O,0.2641
CC1=CNC(=O)OC1=N,0.1972
CC1C2N3C1C=CC23C,0.2152
O=C1NCC2CC12C#N,0.263
NC1=CC=C(N)O1,0.2189
NC1=CC2=C(O1)C=CC2,0.1638
CCC1=C(O)N(C)C=C1,0.2302
C1CC23CC(COC2)C13,0.3006
C1C2OC3=C(NN=C3)C12,0.2226
CC1CC1C(O)CC#C,0.3018
CC1=C2CC=CC2=CO1,0.1949
N=COC1C2NC(=O)C12,0.2503
OC1CCC2C1CC2=O,0.2159
CCC(OCC#C)C=O,0.2127
C1C2NC1C21COC=N1,0.2462
C1C2(CCC2)C11COC1,0.3101
CC12CC3=NCC1(C)N23,0.1945
FC(F)(F)C(=O)C1CO1,0.2121
COC1=NN(C)C(O)=C1,0.2541
CC12CC(C1O)C21CO1,0.3078
OCCC#CCC1CC1,0.2985
CN1N=CC(=O)N=C1N,0.1873
CCC12OCOC1C2C,0.3241
CC1(CC1)C1(O)CCC1,0.3145
CC1CC2N1CC2=NO,0.2172
CC1(O)C2NC(=O)C12O,0.232
CCCC1C2OC1C=C2,0.2364
O=C(COCC#C)C#N,0.1877
CCCCN1C=CN=C1,0.2535
CC1=CCC2(CC2)C1=O,0.1992
CN1C(CO)C1CC=O,0.2018
CCCC1(C)NC1C#N,0.2865
CCOC1CCC(C)O1,0.3366
CC(O)(CO)C(=O)CO,0.2333
CC1(O)CC1(C#N)C#N,0.2715
CC12NC1CC(O)C=C2,0.2454
N=C1OC=CN=C1C=O,0.1413
CCCC12NC1C1NC21,0.2692
C#CC1CNC1C#N,0.2607
CC#CC1(O)CCCC1,0.2838
O=C1NC2(CC1C2)C#C,0.2563
C#CC1CC=CC11CO1,0.2497
CC12NCCC1OC2=N,0.2649
CC1(C)C2CC2C1C=O,0.2202
OC1=NN(CC=O)N=N1,0.2144
CC1CC1C(C)(O)C=O,0.2153
CC#CCC1NC1C=O,0.2193
CC1(C)CNCC(=O)N1,0.2488
CCCOC1=NON=N1,0.2185
COCC#CCCC=O,0.2192
CC1(O)C2CC1(C)C2O,0.2982
COC1=NC=C(O)N=N1,0.1714
CC1(CN1)C1(O)COC1,0.3089
COC12CCOC1C2C,0.3171
CN1N=CC(C#C)=C1N,0.222
CC1=C(C=O)C2NC2C1,0.1849
CCC(=O)COC1CC1,0.2157
C1OCC2=CC=CC=C12,0.2233
COCC1(C)CC1(C)O,0.3183
CC12NC1C(O)C2CO,0.2983
CC1=CCC2(NC12)C#C,0.239
C#CC#CC1(CC1)C#N,0.2137
O=CC1=CNC(=O)N=C1,0.1829
N#CCC1=NC=CN=N1,0.1647
CC1(O)CC(CC=O)C1,0.2262
CNC(=O)C(C)(O)CO,0.2738
CC1COC(CCO)C1,0.3234
N=C1OC2(CC2)C11CO1,0.2585
CC#CC1(O)CCC=C1,0.253
N#CC1CNC1C#N,0.2618
CN1CC1C(C)(N)C#N,0.2563
OC1=NN2C=CCC2=N1,0.1908
CC1(O)C2CN2C1C#N,0.257
CC12OCOC1CC2=O,0.1948
N#CC1CC=C2CNC12,0.2293
CC1C2C(CC12C)=NO,0.2428
CC#CCC1CC1(C)O,0.2983
O=CC1CC1CC1CO1,0.2282
NC1=NOC(=C1)C#C,0.1955
OC12C3CC4C1C4(O)C23,0.2944
CC(C)OC(=N)NC=O,0.2446
CC1=CNC2=C1ON=N2,0.1915
OC12CC(C3NC13)C2=O,0.2301
