smiles,energy_gap
C1C2CCCC22COC12,0.3002
OC1C2CCC(O2)C1O,0.2901
OCC12CC3(CO3)C1O2,0.3185
NC(=O)OC(CO)C=O,0.2303
CCC12CC1(O)C1NC21,0.3093
CC1OC(C#C)C(=N)O1,0.2754
C1CC11C=CC2CC1C2,0.239
O=C1CC2OC2CCN1,0.2649
OCC(CO)C(O)C=O,0.2074
CC12CC(OCO1)C2=O,0.1972
CC(CO)CN1CC1,0.308
FC1=CC(=NC=N1)C#C,0.2069
CNC1=CC=NC(=O)N1,0.1851
CC1CC11CCO1,0.3021
CCC1OC(=N)C=C1,0.2109
CCCC1=CC=NO1,0.2444
COCC(C)C=O,0.2304
CCN=C1ON=CN1C,0.21899999999999997
CC12C(CC1=O)N2C=O,0.2109
CC1CC(=O)C11CC1,0.2184
CC12CC3C1C=CC3C2,0.245
N#CC1CC2(CCO2)C1,0.2885
NC1=CC=C(F)C(N)=C1,0.1977
CC1(C)OC(C=C1)C#C,0.2533
O=C1OC=C(CC#C)O1,0.2538
CC(O)C(O)C(O)CO,0.2877
COCC(=O)CCC=O,0.2252
CC1CC2C3C2C2C3N12,0.2823
FC1=NOC(=N)N=C1F,0.1669
O=C1NC=NC11COC1,0.2193
CCN1CC2(CO2)C1=O,0.259
COC1=CC=C(CO)O1,0.2192
NC(=O)C#CC(O)C#C,0.2311
NC(=O)CC12CC1CC2,0.2695
OCC1=CON=NC1=N,0.1657
CC1=CCCOC=NC1,0.2386
O1C2C3C2N2C4C2C3C14,0.3021
CN1C2CC3(CN3)C12C,0.2985
CC12NC1C1CC2O1,0.3079
CC(C)(C)CCC1CC1,0.3452
CC1OC1(C)C#C,0.2868
CN1C2C3C(O)C1C23O,0.2703
O=C1NCC2C=CCN12,0.2462
O=C1CCC2OCCC12,0.2203
COC1C2C(C)C1C2=O,0.2415
OC1C2C=CC1C2C=O,0.2056
CC1CCC2C3CC12O3,0.306
O=C1CC2(CN2)CO1,0.275
OC1CC1OC(=O)C#C,0.2041
O1N=NN2C=NN=C12,0.1939
CC1(O)COC1,0.3076
COC1=COC(=C1)C#N,0.1917
CC12NC3C1OC=NC23,0.2385
N#CC12CC=CC1CN2,0.2416
CC1NC11COC(=O)C1,0.2672
COC(=O)CCC#N,0.2866
CCC1(CO)OC1C#C,0.2722
CC(CO)C(C)C(N)=O,0.2767
O=C1OC2C3COC1C23,0.2468
OCC1OCC2(CC2)O1,0.3236
CC12CN1C(=O)C21CO1,0.2189
CC1(C)C(O)C1CC=O,0.2039
O1C=NC2C=CC3C1C23,0.2331
CC1C=CC2=CCCC12,0.1933
CC1CC1(C)NCC#N,0.2704
CC1CN=CN1C=O,0.2228
OC1=NN(C=N1)C1CC1,0.2405
OC1CCC(C=O)=CC1,0.1976
CC(CO)C1CC(C)C1,0.3409
CC1(COC1=O)NC=O,0.2603
C1OCC2C3C4C3C2C14,0.336
O=COCC1CC2CC12,0.2763
C#CCOCC1CC1,0.2884
CC1OC1C1CC(C)C1,0.3372
CCCC1(O)CC1C#N,0.3075
CC12CC(C1)(OC2)C#N,0.276
C#CCC1OC1C#N,0.2672
CC12CN3C1C2C3C#N,0.2645
C1CC2CCC1CO2,0.3024
CCC1(O)C(O)C1OC,0.297
CC1=CCC2C(C=O)C12,0.20800000000000002
O=C1CCCCCCC1,0.2242
CC(CCCO)C#C,0.3156
CCC(O)C1OC1CC,0.3236
CNC1=C(C)C(C)=NO1,0.2223
C#CC1CC=CC2NC12,0.2405
OC1CCC(C1)C1CO1,0.3297
C1CC23C4C5C4C12CN35,0.2572
CN(CC#C)C(=O)CO,0.2684
N=CNC1=NCCC1=O,0.1764
C1CC2=C(C1)CCC2,0.2538
CC1OC1C1COC1=N,0.2854
O=C1CC=CC(O1)C#C,0.2498
CC12CC(CO1)OC2=N,0.273
CC1(CC(O)C1)C#C,0.3036
