smiles,dipole_moment
N#CC1NC11C2CC1C2,5.0509
OC1=NON=C1OC=O,2.5256
CC12CCC1CN1CC21,1.5279
CN=C1OC(=O)CC1N,2.11
CC(CO)C(CO)C#N,2.786
CC1(C)CC(=O)OC1=N,2.6416
CC1NC2(CNC12)C#N,2.8597
OCCOC(=O)N1CC1,1.9466
O=CC1=CN2CCC2=N1,7.3954
NC1(COC1=N)C1CN1,1.9482
CCN1C=NC(=C1)C#C,4.6918
O=C1CC2COCC1O2,2.3546
CC(=O)CC1(C)COC1,3.4897
O=CC1=NCCO1,3.9819
N#CC1(CC2CC2)CO1,3.6553
CC1=CCCNC1C#N,4.6856
O=C1NC2CCC3C2N13,4.9905
N#CC12OC3COC1C23,4.9766
CNC1=C(N)N=NN1C,4.9136
OC1(CC=O)CC=CC1,3.3760000000000003
NC1=NC2CC2NC1=O,1.8729
OC1=CC=C(F)C=C1,1.8824
CC(CO)N1N=NN=N1,4.8613
C1C2NC2C11CCCO1,0.8879
CC1(OCCO1)C1CO1,2.5519
CC#CCC1(C)CN1,1.4657
O=C1C2CC3CC1C23,3.1605
O=C1NCC11C2CC1O2,2.2261
CN=C1N=NOC=C1F,0.4153
CC12OC3C4C3C1(C)C24,1.2433
CC1=NC=C(C=C1)C#N,4.4402
C1CC11CC2N=COC12,1.662
C1OC23CC(C=C2)C13,1.8087
O=CNC(C#N)C1CC1,3.2558
CC1(CC(O)C#C)CC1,1.1835
CCCCCN=COC,2.9101
CC1C2C3CC2(C#N)C13,4.3027
O=C1OC23CC(C2)C13,4.19
CC1CCC(C=O)=C1N,5.4578
CC1=NC(=CC=C1)C#N,5.6038
COC1=C(OC=N1)C#N,4.8199
OC1C(COC1=O)C#N,1.8355
CC(C#C)C1COCO1,1.2334
OC1C2C(C1O)N2C=O,4.1342
CCCOC1C2CCC12,0.9424
CC(C1CCC1)C(C)=O,2.423
OC12C3CC1C(=O)C2C3,2.0187
CC1=CC=CC(C)=C1C,0.6138
CN1N=NC(O)=C1C,3.4295
OC1C2CC3OC1CC23,2.0032
O=C1OCOC(=O)C=C1,3.2757
CCC1CC2OCC12O,0.7834
CC12CC(N1)C2(O)C#N,4.8997
CC(C)CC(=O)NC=O,5.3524
CC12C3C4OC1C2(O)C34,0.4464
NC1=NNN=C1C#C,1.6428
N#CCC1C=CC2CN12,5.19
CC12NC(C1C=O)C2=O,2.0266
OCC1=CC(=CO1)C#C,1.0307
CC1C2(O)C3NC3C12O,1.2623
CC1=CNC(=O)OC1=N,4.1204
CC1C2N3C1C=CC23C,1.6074
O=C1NCC2CC12C#N,6.8177
NC1=CC=C(N)O1,2.0265
NC1=CC2=C(O1)C=CC2,1.7541
CCC1=C(O)N(C)C=C1,0.9782
C1CC23CC(COC2)C13,1.3222
C1C2OC3=C(NN=C3)C12,3.3444
CC1CC1C(O)CC#C,1.8837
CC1=C2CC=CC2=CO1,1.0335
N=COC1C2NC(=O)C12,3.9153
OC1CCC2C1CC2=O,1.4891
CCC(OCC#C)C=O,1.7041
C1C2NC1C21COC=N1,2.1326
C1C2(CCC2)C11COC1,1.9419
CC12CC3=NCC1(C)N23,2.7311
FC(F)(F)C(=O)C1CO1,2.6747
COC1=NN(C)C(O)=C1,1.8212
CC12CC(C1O)C21CO1,0.4421
OCCC#CCC1CC1,1.3357
CN1N=CC(=O)N=C1N,7.0612
CCC12OCOC1C2C,1.2187
CC1(CC1)C1(O)CCC1,1.4349
CC1CC2N1CC2=NO,1.3151
CC1(O)C2NC(=O)C12O,2.4115
CCCC1C2OC1C=C2,1.7745
O=C(COCC#C)C#N,3.9024
CCCCN1C=CN=C1,4.205
CC1=CCC2(CC2)C1=O,3.1242
CN1C(CO)C1CC=O,3.2021
CCCC1(C)NC1C#N,4.9278
CCOC1CCC(C)O1,0.5424
CC(O)(CO)C(=O)CO,3.8726
CC1(O)CC1(C#N)C#N,4.7673
CC12NC1CC(O)C=C2,1.9163
N=C1OC=CN=C1C=O,4.8814
CCCC12NC1C1NC21,2.8543
C#CC1CNC1C#N,4.6547
CC#CC1(O)CCCC1,1.7931
O=C1NC2(CC1C2)C#C,3.549
C#CC1CC=CC11CO1,1.8693
CC12NCCC1OC2=N,3.4999
CC1(C)C2CC2C1C=O,2.6794
OC1=NN(CC=O)N=N1,1.1827
CC1CC1C(C)(O)C=O,1.4457
CC#CCC1NC1C=O,3.4437
CC1(C)CNCC(=O)N1,3.9083
CCCOC1=NON=N1,3.8175
COCC#CCCC=O,2.7441
CC1(O)C2CC1(C)C2O,2.8512
COC1=NC=C(O)N=N1,0.7513
CC1(CN1)C1(O)COC1,2.0841
COC12CCOC1C2C,1.9143
CN1N=CC(C#C)=C1N,3.3685
CC1=C(C=O)C2NC2C1,3.7689
CCC(=O)COC1CC1,1.6684
C1OCC2=CC=CC=C12,1.4168
COCC1(C)CC1(C)O,1.7085
CC12NC1C(O)C2CO,4.0864
CC1=CCC2(NC12)C#C,1.1958
C#CC#CC1(CC1)C#N,4.0937
O=CC1=CNC(=O)N=C1,5.2674
N#CCC1=NC=CN=N1,4.1048
CC1(O)CC(CC=O)C1,3.1052
CNC(=O)C(C)(O)CO,2.9529
CC1COC(CCO)C1,1.3485
N=C1OC2(CC2)C11CO1,2.9351
CC#CC1(O)CCC=C1,1.791
N#CC1CNC1C#N,7.0623
CN1CC1C(C)(N)C#N,4.3661
OC1=NN2C=CCC2=N1,3.4458
CC1(O)C2CN2C1C#N,3.3724
CC12OCOC1CC2=O,2.0285
N#CC1CC=C2CNC12,4.8634
CC1C2C(CC12C)=NO,1.4407
CC#CCC1CC1(C)O,1.3128
O=CC1CC1CC1CO1,3.0756
NC1=NOC(=C1)C#C,3.2172
OC12C3CC4C1C4(O)C23,2.3063
CC(C)OC(=N)NC=O,3.8111
CC1=CNC2=C1ON=N2,5.074
OC12CC(C3NC13)C2=O,1.605
CC12CN1CC1COC21,1.2559
NC1=CC=C(O)N=C1F,2.2674
CC12NC(=O)C1(N)C2O,2.1545
CNC1=NC(=CO1)C#C,2.5866
CC1CC(C)(O)C1C#C,1.9588
CC1=CN=C(N)O1,1.9777
O=C1OCC2NC12C#C,5.0419
OC1C2C3C1C2C31CO1,2.9716
C1OC2C3CC12C=CC3,1.9645
OC1C(O)C1OCC=O,2.6464
NC1=NC2=C(C1)N=CO2,3.8718
NC1=C2C=CCC2=CN1,1.0415
OC(CC#N)C1CC1O,4.1752
C1C2OCC3=C2N1N=N3,3.1281
C1C2OC1C1OCCC21,1.8721
OCC(CCC#C)C#C,1.9384
CC1COC2C3CC12C3,1.6219999999999999
O=COC1C2OC(=O)C12,5.9933
FC(F)(F)C#CCC#C,2.7844
CC12NC3=NC4C(C14)C23,3.9191
C1CC2(C1)OC21COC1,2.0942
CC12CC1C1(NC21)C#C,1.4305
C1C2CC3(COCO3)C12,1.3852
C1CC2OCC3C1C23,1.614
OC12CC3C4C1C4C23O,2.0892
CN1N=NC=C(F)C1=O,0.9324
C1C2C3C=CC=CC2C13,0.4126
OC1C2CC3OC1C23,2.2292
CC1(CO1)C(O)CO,2.5247
O=CCC(C=O)C1CO1,2.9606
CC1OC2CC1CO2,2.401
C1NC11CN2C3CC1C23,2.6121
NC1=NC=C(C=C1)C#N,6.2424
CC1=CC(=CN=C1)C#N,4.3494
N=C1OC23CN(C2)C13,2.4535
COCCCN=COC,2.1473
NC(CC1(O)CC1)C#N,2.4066
CC1C(CNC1=O)C=O,2.5715
COC1=C(NC=C1)C#N,5.553999999999999
CC1C2C(C=O)N2C1=O,4.9331
CC(C#N)C1OCC=C1,3.6077
CC1=C(N)NC(O)=C1N,1.7631
CN=C1C=CNN=N1,4.3693
CC1=CON=C1C1CC1,3.0353
C1CC11C2C3COC2C13,1.4415
CC12C3NC1C(=O)C23O,3.1179
C#CC1C2OC=NC12,1.4766
CC12CN(C1)C2(C)C#C,1.9665
CC12OCC1NC2CO,3.2969999999999997
N=C1CCOC(=N)CO1,1.7984
CC12CN3CC1C(O)C23,2.2383
OC12CCC1CC1OC21,0.8651
OC1C=CN2N=NC=C12,3.7871
C#CC1OC1(C#N)C#N,4.1009
