smiles,energy_gap
COC1C2OC3CC2C13,0.3147
C1CC1C1=CCCC1,0.2471
CC1CC2C(CO)N12,0.29600000000000004
CC1=C(NC=N1)C=O,0.1906
CC1CCN2C(C#N)C12,0.2618
OCC(OC1CC1)C=O,0.2124
CCC#CC(=O)C#N,0.1913
CCCC1(C)CC1CO,0.3339
CC1C=CCC1(O)C#C,0.2644
OC(C1CC1)C1CCO1,0.303
CCN=C1COCO1,0.2747
CC1=NNC2=C1CCO2,0.245
CCC1OC1CO,0.3411
C1OC11CCCN2CC12,0.302
CC1C(O)C2(CO2)C1=O,0.2021
CC1C2C3C4C(CN24)N13,0.2624
CNC1=NOC(CO)=N1,0.2228
N#CC12CC3CC1C2O3,0.2849
CC1=CC2(NC2C1)C#C,0.2312
CC1=NC(=O)C=CN1,0.2059
CC1OC(=O)C11CO1,0.2573
CC1(C)C2CC3C2C13O,0.3092
O=C1C2(CN2)CC11CN1,0.2029
O=CC(C#C)(C#N)C#N,0.2203
COC1=C(O)N(C)C=N1,0.2163
CNC(C#N)C(N)=O,0.2374
CCC(C)OC(=N)C#N,0.2384
C1OC23CC(C2)COC13,0.3168
CC1C2OC2C2OC12C,0.3176
CC1OC2CC12N1CC1,0.3104
CC1(C#N)C2C(O)CN12,0.2785
C1OC11CCCCCC1,0.3287
CCCC1CC=C(C)C1,0.2596
CN1N=C(C=C1N)C#C,0.2142
OC(C#C)C12CC(C1)O2,0.2614
COC1OC(C)=NC1C,0.2761
O=C1CCNC1C#N,0.2006
CCOC(=O)CC1CN1,0.257
CC12CC(C1)CC(=O)C2,0.2197
O=C1NC2CC3(CO3)C12,0.2681
CC1CC1(O)C(=O)CO,0.2261
CC1CCC11CC1C=O,0.2271
CC#CCC1(O)CC1C,0.2932
CCC1=C(O)NN=C1N,0.2418
CN1CC11CCNC1=O,0.25
CC1CCC(=O)CC1C,0.2226
CC(CO)COC(C)=N,0.2935
OCC1=NC=C(F)C=N1,0.1959
N=COCC1(CO1)C#N,0.266
CC12CC(O1)(C=C2)C#N,0.235
OCC1=CC2CC1CO2,0.247
C1C2OC2CC2OC12,0.3332
OCC1C(=O)OC11CC1,0.2757
CC1C2C3N2C(C)C13O,0.2943
CC(O)C1(C)CC(C)C1,0.3219
O=CC1CCC(C1)C#C,0.2275
NC1=CC=CN1CC#N,0.2147
OCC1C2CC3CC1C23,0.3284
CC1(O)C2CCOC12C,0.3044
CN1C2C1C1(O)CCC21,0.287
OC1COC(=NC1)C#C,0.2281
CC(O)C1CC1(C)C,0.3299
C#CCC12CC1CCC2,0.3105
OC1CNC1CC#N,0.2842
C1CN1C1C2OC=NC12,0.2575
ON=C1CC(C=O)C=C1,0.1792
CC1(C)OC(=N)C=C1N,0.2134
O=CC12C3C4OC1C4N23,0.2182
CC1=CNC(=O)C(F)=C1,0.1764
OC1C2CC2C=C1C#C,0.1974
N#CC1C2C1C1CCC21,0.2938
CN1CCN(C=O)C1=O,0.2379
OC1CC=CCC(=O)C1,0.218
OC1=NNC(=C1)N1CC1,0.24
OC1C2CC1N2CC#N,0.2595
O=CC(C1CC1)C1CN1,0.215
O=C(C#C)C#CCC#C,0.1894
CC1(CC1O)C1CN1,0.3131
NC(N)=[NH+]C1=N[N-]N=N1,0.198
NC1=C(CC#N)OC=C1,0.2125
CC#CC#CC(C)(C)C,0.2283
CN1CC(O)(C#N)C1=N,0.2413
O=C1C=NON=C1C#C,0.1685
NC(=[NH2+])[C-](OC=N)C#N,0.2038
CC1C2C3OC1OC23,0.3297
CC#CCC(CO)C#N,0.2829
CC1C2CC3(C)C2C13O,0.301
N=CN1CC(=O)C1C#N,0.1947
CC(=O)C1NC11CCC1,0.2207
CC(O)C1(CC=O)CN1,0.2194
CC1(CO)C2C(O)CN12,0.2912
CC1C2C(O)C2N2CC12,0.2836
CN1N=NC(C)=CC1=O,0.1815
CC12CCC1(N2)C1CN1,0.3073
NC12C(C#N)C1N1CC21,0.2483
CCC12CC3(C)C(O1)C23,0.2996
COCCC1OCC1=O,0.2244
OCC12OC3C1CC23O,0.2999
C1C2C1C13COCC21N3,0.3149
CC(C)OCCN1CC1,0.319
OC1C2C1C(O)C2O,0.3019
OC1C(O)C1(O)C#N,0.2688
CCC1=CCOC1C=O,0.2008
CC1(O)C(O)C1(O)C=O,0.2114
COC1CC2C3OC2C13,0.3068
OCC12OC1CCC2=O,0.2079
COC1C2CC(=N)OC12,0.2765
NC(=NCC1CC1)C#N,0.2166
CC1(CC#C)CN1C=O,0.2529
COCC1(O)CCC=C1,0.2651
CC1=NC=C(OC=O)O1,0.2238
N=CN(CCC#N)C=O,0.2293
CN1C(O)=CN=C1C#C,0.1926
CC12OC3(C=O)C1CC23,0.2086
C1CC2(C1)C1CCC2O1,0.322
NC(=[NH2+])[C-]1NC=CC1=O,0.1581
CCC12OC1C1NC21,0.2791
OC1(CC=O)C2CCC12,0.22
C1C2CC34COC3C1C24,0.3096
O=CC1C2OC1C2C=O,0.1919
C1C2CC1C1CC2C1,0.36
CC12C(OC1=O)C1CN21,0.247
CCCC12CC3C(C1)N23,0.3132
CN1C2CC2(O)C1=O,0.2319
CC12C3CC1=CC(O)C23,0.1787
COC12CC3C1C3(C)C2,0.3183
N=COCC1(CC1)C=O,0.2243
COCCC(=O)C(N)=O,0.1784
CCC#CC1=NON=C1,0.2059
C1CC(C1)N1C=CC=N1,0.2603
